"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"34","A00292",2187.42,430.66,1473.74,12,795,306,-4.9,"42","70","NZDUSD",4.91246666666667,203.563722230516,61069.1166691547,4452.79357281474,10.3394640152667,1.84600380810848,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"35","A00286",2650.78,409.67,1520.9,12,784,303,-5.1,"46","60","NZDUSD",5.06966666666667,197.251627325925,59175.4881977776,5228.70668683017,12.763215970977,1.91373544560256,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"36","A00343",610.86,423.09,1603.37,11,506,180,-5.3,"50","70","USDCAD",5.34456666666667,187.105908180894,56131.7724542682,1142.95515071381,2.70144685696615,1.19596303386986,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"37","A00342",578.21,423.09,1496.52,11,466,165,-5,"46","70","USDCAD",4.9884,200.465078983241,60139.5236949723,1159.109133189,2.73962781722328,1.10142050154813,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"38","A00336",359.49,423.09,1638.78,11,466,163,-5.5,"50","60","USDCAD",5.4626,183.063010288141,54918.9030864424,658.093215684839,1.55544497786485,1.10142050154813,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"39","A00341",701.36,423.09,1534.52,11,438,157,-5.1,"42","70","USDCAD",5.11506666666667,195.500873237234,58650.2619711701,1371.16492453666,3.24083510491069,1.03524072892292,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"40","A00335",623.99,423.09,1405.85,11,424,151,-4.7,"46","60","USDCAD",4.68616666666667,213.394032080236,64018.2096240709,1331.55742077747,3.14722026230227,1.00215084261032,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"41","A00350",91.43,427.68,2161.79,10,414,144,-7.2,"50","10","USDCHF",7.20596666666667,138.773886455206,41632.1659365618,126.880964385995,0.29667266270575,0.968013468013468,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"42","A00356",-866.6,415.73,2551.51,12,403,132,-8.5,"46","20","USDCHF",8.50503333333333,117.577434538763,35273.230361629,-1018.92604771292,-2.45093221011936,0.969379164361485,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"43","A00368",-968.47,426.76,2693.27,12,400,130,-9,"38","40","USDCHF",8.97756666666667,111.388757903961,33416.6273711882,-1078.76670367249,-2.52780650405963,0.937294966726029,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"44","A00362",-1167.62,426.71,2996.46,12,403,129,-10,"42","30","USDCHF",9.9882,100.118139404497,30035.4418213492,-1168.99941931479,-2.73956415203485,0.944435330786717,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"45","A00367",-939.16,426.71,2665.53,12,365,119,-8.9,"34","40","USDCHF",8.8851,112.547973573736,33764.3920721207,-1057.0055486151,-2.47710517357244,0.855381875278292,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"46","A00441",649.14,431.04,2248.35,20,694,242,-7.5,"50","70","USDJPY",7.4945,133.431182867436,40029.3548602309,866.155180465675,2.00945429766536,1.61005939123979,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"47","A00440",429.13,430.98,2729.34,20,650,225,-9.1,"46","70","USDJPY",9.0978,109.916683154169,32975.0049462507,471.685462419486,1.09444861111765,1.5081906352963,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"48","A00434",262.86,430.93,2169.76,20,617,210,-7.2,"50","60","USDJPY",7.23253333333333,138.264139812698,41479.2419438095,363.441117911658,0.843387830765225,1.4317870651846,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"49","A00439",135.01,430.93,2620.29,20,605,206,-8.7,"42","70","USDJPY",8.7343,114.491144110003,34347.3432330009,154.574493662915,0.358699774123211,1.40394031513239,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"50","A00427",-222.62,430.84,2704.82,20,566,191,-9,"50","50","USDJPY",9.01606666666667,110.913110669102,33273.9332007305,-246.914766971554,-0.573100842474131,1.31371274719153,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"51","A00490",1674.09,431.02,2202.85,15,1502,545,-7.3,"50","70","XAUUSD",7.34283333333333,136.187212020791,40856.1636062374,2279.89649771886,5.28953760317123,3.48475708783815,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"52","A00489",1220.8,430.97,2878.28,15,1421,512,-9.6,"46","70","XAUUSD",9.59426666666667,104.228914490599,31268.6743471796,1272.42658810123,2.95247137411241,3.29721326310416,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"53","A00482",1478.46,430.86,2880.76,15,1324,479,-9.6,"46","60","XAUUSD",9.60253333333333,104.139185492717,31241.7556478152,1539.65620183563,3.57344892038162,3.07292391960266,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"54","A00476",2894.04,430.84,2072.9,15,1235,459,-6.9,"50","50","XAUUSD",6.90966666666667,144.724781706788,43417.4345120363,4188.39307250712,9.72145825017899,2.86649336180485,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"55","A00487",2099.08,430.84,2591.79,14,1231,451,-8.6,"38","70","XAUUSD",8.6393,115.750118643872,34725.0355931615,2429.68759042978,5.63941971597294,2.85720917277876,"No","No","No","X__STOf.Length","X__STOf.Threshold"
